Region,日内小时,AI_IT_Load_MW,AvailableRenewable_MW,Curtailment_MW
RegionC,0,31.255551155115505,540.19,373.43322257425615
RegionC,1,23.629280528052696,587.87,425.4406695049512
RegionC,2,19.778858085808473,650.0,536.8302724798043
RegionC,3,19.563547854785515,722.35,609.3454815841607
RegionC,4,19.471933993399364,800.0,688.1320504950504
RegionC,5,18.337138613861363,877.65,766.3794401980202
RegionC,6,18.993990099009885,950.0,838.5497350495049
RegionC,7,18.70114000000002,1012.13,904.7730534000018
RegionC,8,17.56600333333337,1059.81,953.5650987999985
RegionC,9,17.667169999999988,1089.78,978.6876744000073
RegionC,10,17.245480000000068,1100.0,985.0111273999959
RegionC,11,20.57809666666676,1089.78,969.5938806000004
RegionC,12,25.859189999999966,1059.81,936.7538013999973
RegionC,13,30.128200000000014,1012.13,886.4455078000009
RegionC,14,30.705733333333377,950.0,826.8828250000005
RegionC,15,29.810513333333315,877.65,764.7823794000001
RegionC,16,26.909080000000014,800.0,702.5078579999957
RegionC,17,21.847813333333402,722.35,638.5438037999962
RegionC,18,17.12062999999994,650.0,574.4744492
RegionC,19,18.039666666666754,587.87,511.5610763999994
RegionC,20,20.96766333333342,540.19,459.6800216000008
RegionC,21,26.94161333333334,510.22,418.26682019999816
RegionC,22,30.23211666666672,500.0,351.50642299999714
RegionC,23,33.45533666666672,510.22,351.6892067999995
RegionD,0,60.982204620461886,540.19,123.52664217821776
RegionD,1,48.80545214521461,587.87,139.33652745874588
RegionD,2,40.4086600660065,650.0,178.81914118811883
RegionD,3,39.07715181518152,722.35,227.2701571617162
RegionD,4,36.25467656765682,800.0,346.65832052805274
RegionD,5,30.770729372937005,877.65,467.828841914191
RegionD,6,21.97843234323441,950.0,538.8685549834976
RegionD,7,16.238960000000034,1012.13,602.9667118666662
RegionD,8,12.203370000000046,1059.81,650.2588061999992
RegionD,9,6.139696666666736,1089.78,686.9779739999999
RegionD,10,2.613390000000059,1100.0,707.565536
RegionD,11,1.5189433333333398,1089.78,710.1819830000001
RegionD,12,1.0549366666667315,1059.81,692.2097699999999
RegionD,13,0.6745000000000139,1012.13,652.28847
RegionD,14,1.1558266666666623,950.0,601.605614
RegionD,15,5.450483333333332,877.65,544.860006
RegionD,16,10.011680000000034,800.0,484.710616
RegionD,17,217.6768266666666,722.35,265.61701313333555
RegionD,18,219.77422333333325,650.0,189.0909897333309
RegionD,19,219.8275966666666,587.87,127.39299933333426
RegionD,20,220.44946333333354,540.19,83.53788873333264
RegionD,21,153.72474000000028,510.22,126.25740460000291
RegionD,22,108.10789000000022,500.0,98.1649083333329
RegionD,23,77.75082666666681,510.22,115.91039826666669
RegionE,0,127.20342244224437,540.19,41.40050742574194
RegionE,1,128.96843564356448,587.87,44.223036633663526
RegionE,2,130.20515181518172,650.0,58.40376287128605
RegionE,3,133.4003498349833,722.35,77.85782062706302
RegionE,4,134.67263366336627,800.0,120.07739785478348
RegionE,5,132.83371287128725,877.65,260.847248514847
RegionE,6,128.55020792079185,950.0,328.9163516435671
RegionE,7,127.95736666666662,1012.13,368.13994999999966
RegionE,8,127.88214333333333,1059.81,400.65747666666664
RegionE,9,131.00023666666678,1089.78,419.53100566666654
RegionE,10,126.47718333333341,1100.0,438.9534256666733
RegionE,11,116.05014999999999,1089.78,457.57610499999913
RegionE,12,104.98031999999986,1059.81,460.6622100000006
RegionE,13,91.68007000000006,1012.13,444.60958216667115
RegionE,14,80.99378999999998,950.0,414.8128149999991
RegionE,15,74.87626666666671,877.65,384.03558233333405
RegionE,16,73.3149533333334,800.0,349.6255029999978
RegionE,17,143.7403633333333,722.35,231.52042716666335
RegionE,18,147.82573333333346,650.0,172.9874173333344
RegionE,19,147.11076333333298,587.87,103.94946683333
RegionE,20,143.98661666666672,540.19,69.8799933333345
RegionE,21,147.99969999999993,510.22,48.73265150000422
RegionE,22,138.3302233333336,500.0,25.2365379999987
RegionE,23,129.24536666666663,510.22,34.93813400000146
RegionF,0,106.09982508250826,540.19,49.69782739273964
RegionF,1,111.60890429042895,587.87,53.30321759076271
RegionF,2,113.58661056105579,650.0,61.667088118809644
RegionF,3,112.02627722772276,722.35,79.893464818483
RegionF,4,110.83357425742574,800.0,108.37799607260645
RegionF,5,102.91462376237618,877.65,253.9874253498351
RegionF,6,98.8013102310234,950.0,332.16490712541184
RegionF,7,96.07180666666663,1012.13,403.0274286000013
RegionF,8,88.49190333333343,1059.81,475.8357447333263
RegionF,9,69.0152866666664,1089.78,539.8048503333331
RegionF,10,46.30878000000007,1100.0,587.0992036333341
RegionF,11,28.67779666666661,1089.78,609.0043961333325
RegionF,12,15.046496666666775,1059.81,610.2636570333333
RegionF,13,8.372413333333407,1012.13,576.5325215333332
RegionF,14,5.290689999999942,950.0,529.4469753
RegionF,15,5.71884,877.65,473.4240325666675
RegionF,16,9.761033333333284,800.0,414.78015123333296
RegionF,17,139.79003333333313,722.35,260.5743051666618
RegionF,18,144.7027866666666,650.0,184.97210566667647
RegionF,19,144.1456199999998,587.87,113.45553023333567
RegionF,20,143.49806000000007,540.19,72.54173286666193
RegionF,21,144.50452666666675,510.22,54.48911363333621
RegionF,22,126.9347533333334,500.0,36.41236053333329
RegionF,23,114.29172999999967,510.22,42.015505666666144
