Hour,Region,TaskType,Model,Actual_GPU_Demand,Predicted_GPU_Demand
2382,RegionA,BatchInference,ARIMA,19.0,18.229700869892675
2383,RegionA,BatchInference,ARIMA,25.0,20.346134744592124
2384,RegionA,BatchInference,ARIMA,0.0,19.49278167817675
2385,RegionA,BatchInference,ARIMA,0.0,17.273431020163247
2386,RegionA,BatchInference,ARIMA,15.0,17.80786491608797
2387,RegionA,BatchInference,ARIMA,16.0,20.08446280058438
2388,RegionA,BatchInference,ARIMA,85.0,19.87442566957382
2389,RegionA,BatchInference,ARIMA,21.0,17.586652045154906
2390,RegionA,BatchInference,ARIMA,16.0,17.473336594538353
2391,RegionA,BatchInference,ARIMA,34.0,19.726732739901625
2392,RegionA,BatchInference,ARIMA,53.0,20.15596026167869
2393,RegionA,BatchInference,ARIMA,15.0,17.981081406887867
2394,RegionA,BatchInference,ARIMA,16.0,17.249528356575286
2395,RegionA,BatchInference,ARIMA,19.0,19.304016248177934
2396,RegionA,BatchInference,ARIMA,6.0,20.318530422589486
2397,RegionA,BatchInference,ARIMA,46.0,18.423246936142842
2398,RegionA,BatchInference,ARIMA,0.0,17.150437053283962
2399,RegionA,BatchInference,ARIMA,0.0,18.851483567741447
2376,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2377,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2378,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2379,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2380,RegionA,AITraining,SBA-Croston,122.0,24.468991529441617
2381,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2382,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2383,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2384,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2385,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2386,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2387,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2388,RegionA,AITraining,SBA-Croston,103.0,24.468991529441617
2389,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2390,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2391,RegionA,AITraining,SBA-Croston,101.0,24.468991529441617
2392,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2393,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2394,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2395,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2396,RegionA,AITraining,SBA-Croston,95.0,24.468991529441617
2397,RegionA,AITraining,SBA-Croston,158.0,24.468991529441617
2398,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2399,RegionA,AITraining,SBA-Croston,0.0,24.468991529441617
2376,RegionB,RealTimeInference,ARIMA,11.0,8.494909334603298
2377,RegionB,RealTimeInference,ARIMA,6.0,8.828959440862866
2378,RegionB,RealTimeInference,ARIMA,5.0,8.79796336743397
2379,RegionB,RealTimeInference,ARIMA,1.0,8.433992029947882
2380,RegionB,RealTimeInference,ARIMA,9.0,8.768556283649025
2381,RegionB,RealTimeInference,ARIMA,7.0,8.725600744143033
2382,RegionB,RealTimeInference,ARIMA,7.0,8.383673466935292
2383,RegionB,RealTimeInference,ARIMA,9.0,8.717511549352265
2384,RegionB,RealTimeInference,ARIMA,7.0,8.663031085330164
2385,RegionB,RealTimeInference,ARIMA,12.0,8.342321192836058
2386,RegionB,RealTimeInference,ARIMA,18.0,8.674328769646628
2387,RegionB,RealTimeInference,ARIMA,15.0,8.60881795149992
2388,RegionB,RealTimeInference,ARIMA,1.0,8.308550621816945
2389,RegionB,RealTimeInference,ARIMA,0.0,8.637744635939532
2390,RegionB,RealTimeInference,ARIMA,8.0,8.561744462666509
2391,RegionB,RealTimeInference,ARIMA,8.0,8.281187171479992
2392,RegionB,RealTimeInference,ARIMA,3.0,8.60669314633255
2393,RegionB,RealTimeInference,ARIMA,13.0,8.520779494556162
2394,RegionB,RealTimeInference,ARIMA,17.0,8.25923420614044
2395,RegionB,RealTimeInference,ARIMA,4.0,8.580275250966938
2396,RegionB,RealTimeInference,ARIMA,14.0,8.485049071677432
2397,RegionB,RealTimeInference,ARIMA,7.0,8.241845895476605
2398,RegionB,RealTimeInference,ARIMA,7.0,8.5577331522997
2399,RegionB,RealTimeInference,ARIMA,1.0,8.453812159375044
2376,RegionB,BatchInference,ARIMA,26.0,18.067867323380227
2377,RegionB,BatchInference,ARIMA,4.0,19.36854641498972
2378,RegionB,BatchInference,ARIMA,18.0,17.789343305754215
2379,RegionB,BatchInference,ARIMA,15.0,18.41206542681901
2380,RegionB,BatchInference,ARIMA,19.0,18.41206542681901
2381,RegionB,BatchInference,ARIMA,4.0,18.41206542681901
2382,RegionB,BatchInference,ARIMA,8.0,18.41206542681901
2383,RegionB,BatchInference,ARIMA,33.0,18.41206542681901
2384,RegionB,BatchInference,ARIMA,0.0,18.41206542681901
2385,RegionB,BatchInference,ARIMA,33.0,18.41206542681901
2386,RegionB,BatchInference,ARIMA,51.0,18.41206542681901
2387,RegionB,BatchInference,ARIMA,33.0,18.41206542681901
2388,RegionB,BatchInference,ARIMA,10.0,18.41206542681901
2389,RegionB,BatchInference,ARIMA,13.0,18.41206542681901
2390,RegionB,BatchInference,ARIMA,30.0,18.41206542681901
2391,RegionB,BatchInference,ARIMA,29.0,18.41206542681901
2392,RegionB,BatchInference,ARIMA,8.0,18.41206542681901
2393,RegionB,BatchInference,ARIMA,0.0,18.41206542681901
2394,RegionB,BatchInference,ARIMA,61.0,18.41206542681901
2395,RegionB,BatchInference,ARIMA,0.0,18.41206542681901
2396,RegionB,BatchInference,ARIMA,17.0,18.41206542681901
2397,RegionB,BatchInference,ARIMA,19.0,18.41206542681901
2398,RegionB,BatchInference,ARIMA,21.0,18.41206542681901
2399,RegionB,BatchInference,ARIMA,75.0,18.41206542681901
2376,RegionB,AITraining,SBA-Croston,0.0,34.49601043795022
2377,RegionB,AITraining,SBA-Croston,0.0,34.49601043795022
2378,RegionB,AITraining,SBA-Croston,0.0,34.49601043795022
2379,RegionB,AITraining,SBA-Croston,0.0,34.49601043795022
2380,RegionB,AITraining,SBA-Croston,142.0,34.49601043795022
2381,RegionB,AITraining,SBA-Croston,71.0,34.49601043795022
2382,RegionB,AITraining,SBA-Croston,0.0,34.49601043795022
2383,RegionB,AITraining,SBA-Croston,0.0,34.49601043795022
2384,RegionB,AITraining,SBA-Croston,78.0,34.49601043795022
2385,RegionB,AITraining,SBA-Croston,0.0,34.49601043795022
2386,RegionB,AITraining,SBA-Croston,113.0,34.49601043795022
2387,RegionB,AITraining,SBA-Croston,0.0,34.49601043795022
2388,RegionB,AITraining,SBA-Croston,0.0,34.49601043795022
2389,RegionB,AITraining,SBA-Croston,59.0,34.49601043795022
2390,RegionB,AITraining,SBA-Croston,0.0,34.49601043795022
2391,RegionB,AITraining,SBA-Croston,54.0,34.49601043795022
2392,RegionB,AITraining,SBA-Croston,0.0,34.49601043795022
2393,RegionB,AITraining,SBA-Croston,0.0,34.49601043795022
2394,RegionB,AITraining,SBA-Croston,0.0,34.49601043795022
2395,RegionB,AITraining,SBA-Croston,110.0,34.49601043795022
2396,RegionB,AITraining,SBA-Croston,51.0,34.49601043795022
2397,RegionB,AITraining,SBA-Croston,0.0,34.49601043795022
2398,RegionB,AITraining,SBA-Croston,44.0,34.49601043795022
2399,RegionB,AITraining,SBA-Croston,0.0,34.49601043795022
2376,RegionC,RealTimeInference,ARIMA,7.0,7.2558532049586
2377,RegionC,RealTimeInference,ARIMA,4.0,7.2442269391296055
2378,RegionC,RealTimeInference,ARIMA,0.0,7.121311687552102
2379,RegionC,RealTimeInference,ARIMA,0.0,7.105545443384372
2380,RegionC,RealTimeInference,ARIMA,12.0,7.105545443384372
2381,RegionC,RealTimeInference,ARIMA,12.0,7.105545443384372
2382,RegionC,RealTimeInference,ARIMA,13.0,7.105545443384372
2383,RegionC,RealTimeInference,ARIMA,2.0,7.105545443384372
2384,RegionC,RealTimeInference,ARIMA,6.0,7.105545443384372
2385,RegionC,RealTimeInference,ARIMA,5.0,7.105545443384372
2386,RegionC,RealTimeInference,ARIMA,5.0,7.105545443384372
2387,RegionC,RealTimeInference,ARIMA,25.0,7.105545443384372
2388,RegionC,RealTimeInference,ARIMA,0.0,7.105545443384372
2389,RegionC,RealTimeInference,ARIMA,7.0,7.105545443384372
2390,RegionC,RealTimeInference,ARIMA,7.0,7.105545443384372
2391,RegionC,RealTimeInference,ARIMA,8.0,7.105545443384372
2392,RegionC,RealTimeInference,ARIMA,2.0,7.105545443384372
2393,RegionC,RealTimeInference,ARIMA,4.0,7.105545443384372
2394,RegionC,RealTimeInference,ARIMA,0.0,7.105545443384372
2395,RegionC,RealTimeInference,ARIMA,5.0,7.105545443384372
2396,RegionC,RealTimeInference,ARIMA,7.0,7.105545443384372
2397,RegionC,RealTimeInference,ARIMA,0.0,7.105545443384372
2398,RegionC,RealTimeInference,ARIMA,12.0,7.105545443384372
2399,RegionC,RealTimeInference,ARIMA,13.0,7.105545443384372
2376,RegionC,BatchInference,ARIMA,0.0,14.235742120844714
2377,RegionC,BatchInference,ARIMA,0.0,14.315304271753392
2378,RegionC,BatchInference,ARIMA,21.0,14.449591088684885
2379,RegionC,BatchInference,ARIMA,28.0,14.481552234333869
2380,RegionC,BatchInference,ARIMA,22.0,14.481552234333869
2381,RegionC,BatchInference,ARIMA,37.0,14.481552234333869
2382,RegionC,BatchInference,ARIMA,19.0,14.481552234333869
2383,RegionC,BatchInference,ARIMA,0.0,14.481552234333869
2384,RegionC,BatchInference,ARIMA,17.0,14.481552234333869
2385,RegionC,BatchInference,ARIMA,35.0,14.481552234333869
2386,RegionC,BatchInference,ARIMA,14.0,14.481552234333869
2387,RegionC,BatchInference,ARIMA,0.0,14.481552234333869
2388,RegionC,BatchInference,ARIMA,18.0,14.481552234333869
2389,RegionC,BatchInference,ARIMA,6.0,14.481552234333869
2390,RegionC,BatchInference,ARIMA,0.0,14.481552234333869
2391,RegionC,BatchInference,ARIMA,0.0,14.481552234333869
2392,RegionC,BatchInference,ARIMA,14.0,14.481552234333869
2393,RegionC,BatchInference,ARIMA,18.0,14.481552234333869
2394,RegionC,BatchInference,ARIMA,0.0,14.481552234333869
2395,RegionC,BatchInference,ARIMA,8.0,14.481552234333869
2396,RegionC,BatchInference,ARIMA,25.0,14.481552234333869
2397,RegionC,BatchInference,ARIMA,16.0,14.481552234333869
2398,RegionC,BatchInference,ARIMA,0.0,14.481552234333869
2399,RegionC,BatchInference,ARIMA,11.0,14.481552234333869
2376,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2377,RegionC,AITraining,SBA-Croston,110.0,21.433481568643085
2378,RegionC,AITraining,SBA-Croston,17.0,21.433481568643085
2379,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2380,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2381,RegionC,AITraining,SBA-Croston,68.0,21.433481568643085
2382,RegionC,AITraining,SBA-Croston,67.0,21.433481568643085
2383,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2384,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2385,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2386,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2387,RegionC,AITraining,SBA-Croston,91.0,21.433481568643085
2388,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2389,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2390,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2391,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2392,RegionC,AITraining,SBA-Croston,18.0,21.433481568643085
2393,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2394,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2395,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2396,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2397,RegionC,AITraining,SBA-Croston,0.0,21.433481568643085
2398,RegionC,AITraining,SBA-Croston,16.0,21.433481568643085
2399,RegionC,AITraining,SBA-Croston,37.0,21.433481568643085
2376,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2377,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2378,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2379,RegionD,RealTimeInference,SBA-Croston,6.0,0.8346979831909952
2380,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2381,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2382,RegionD,RealTimeInference,SBA-Croston,7.0,0.8346979831909952
2383,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2384,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2385,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2386,RegionD,RealTimeInference,SBA-Croston,4.0,0.8346979831909952
2387,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2388,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2389,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2390,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2391,RegionD,RealTimeInference,SBA-Croston,2.0,0.8346979831909952
2392,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2393,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2394,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2395,RegionD,RealTimeInference,SBA-Croston,3.0,0.8346979831909952
2396,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2397,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2398,RegionD,RealTimeInference,SBA-Croston,8.0,0.8346979831909952
2399,RegionD,RealTimeInference,SBA-Croston,0.0,0.8346979831909952
2376,RegionD,BatchInference,ARIMA,10.0,18.903161672755555
2377,RegionD,BatchInference,ARIMA,0.0,19.008663475969435
2378,RegionD,BatchInference,ARIMA,23.0,19.07272448085312
2379,RegionD,BatchInference,ARIMA,14.0,18.831224668122207
2380,RegionD,BatchInference,ARIMA,22.0,18.831224668122207
2381,RegionD,BatchInference,ARIMA,0.0,18.831224668122207
2382,RegionD,BatchInference,ARIMA,19.0,18.831224668122207
2383,RegionD,BatchInference,ARIMA,17.0,18.831224668122207
2384,RegionD,BatchInference,ARIMA,6.0,18.831224668122207
2385,RegionD,BatchInference,ARIMA,34.0,18.831224668122207
2386,RegionD,BatchInference,ARIMA,60.0,18.831224668122207
2387,RegionD,BatchInference,ARIMA,15.0,18.831224668122207
2388,RegionD,BatchInference,ARIMA,33.0,18.831224668122207
2389,RegionD,BatchInference,ARIMA,0.0,18.831224668122207
2390,RegionD,BatchInference,ARIMA,54.0,18.831224668122207
2391,RegionD,BatchInference,ARIMA,0.0,18.831224668122207
2392,RegionD,BatchInference,ARIMA,29.0,18.831224668122207
2393,RegionD,BatchInference,ARIMA,21.0,18.831224668122207
2394,RegionD,BatchInference,ARIMA,41.0,18.831224668122207
2395,RegionD,BatchInference,ARIMA,42.0,18.831224668122207
2396,RegionD,BatchInference,ARIMA,59.0,18.831224668122207
2397,RegionD,BatchInference,ARIMA,27.0,18.831224668122207
2398,RegionD,BatchInference,ARIMA,11.0,18.831224668122207
2399,RegionD,BatchInference,ARIMA,0.0,18.831224668122207
2376,RegionD,AITraining,ARIMA,119.0,165.61457766873374
2377,RegionD,AITraining,ARIMA,209.0,172.0609839903187
2378,RegionD,AITraining,ARIMA,147.0,171.69292590383154
2379,RegionD,AITraining,ARIMA,374.0,170.05764838004998
2380,RegionD,AITraining,ARIMA,83.0,170.05764838004998
2381,RegionD,AITraining,ARIMA,178.0,170.05764838004998
2382,RegionD,AITraining,ARIMA,91.0,170.05764838004998
2383,RegionD,AITraining,ARIMA,112.0,170.05764838004998
2384,RegionD,AITraining,ARIMA,68.0,170.05764838004998
2385,RegionD,AITraining,ARIMA,64.0,170.05764838004998
2386,RegionD,AITraining,ARIMA,116.0,170.05764838004998
2387,RegionD,AITraining,ARIMA,126.0,170.05764838004998
2388,RegionD,AITraining,ARIMA,59.0,170.05764838004998
2389,RegionD,AITraining,ARIMA,276.0,170.05764838004998
2390,RegionD,AITraining,ARIMA,299.0,170.05764838004998
2391,RegionD,AITraining,ARIMA,142.0,170.05764838004998
2392,RegionD,AITraining,ARIMA,221.0,170.05764838004998
2393,RegionD,AITraining,ARIMA,22.0,170.05764838004998
2394,RegionD,AITraining,ARIMA,214.0,170.05764838004998
2395,RegionD,AITraining,ARIMA,112.0,170.05764838004998
2396,RegionD,AITraining,ARIMA,176.0,170.05764838004998
2397,RegionD,AITraining,ARIMA,37.0,170.05764838004998
2398,RegionD,AITraining,ARIMA,381.0,170.05764838004998
2399,RegionD,AITraining,ARIMA,0.0,170.05764838004998
2376,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2377,RegionE,RealTimeInference,SBA-Croston,5.0,0.8621221053844288
2378,RegionE,RealTimeInference,SBA-Croston,2.0,0.8621221053844288
2379,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2380,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2381,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2382,RegionE,RealTimeInference,SBA-Croston,6.0,0.8621221053844288
2383,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2384,RegionE,RealTimeInference,SBA-Croston,4.0,0.8621221053844288
2385,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2386,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2387,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2388,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2389,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2390,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2391,RegionE,RealTimeInference,SBA-Croston,5.0,0.8621221053844288
2392,RegionE,RealTimeInference,SBA-Croston,5.0,0.8621221053844288
2393,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2394,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2395,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2396,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2397,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2398,RegionE,RealTimeInference,SBA-Croston,0.0,0.8621221053844288
2399,RegionE,RealTimeInference,SBA-Croston,4.0,0.8621221053844288
2376,RegionE,BatchInference,ARIMA,34.0,12.245646457443383
2377,RegionE,BatchInference,ARIMA,55.0,12.172439388791009
2378,RegionE,BatchInference,ARIMA,42.0,12.201658328450394
2379,RegionE,BatchInference,ARIMA,0.0,12.240175070860548
2380,RegionE,BatchInference,ARIMA,20.0,12.240175070860548
2381,RegionE,BatchInference,ARIMA,7.0,12.240175070860548
2382,RegionE,BatchInference,ARIMA,23.0,12.240175070860548
2383,RegionE,BatchInference,ARIMA,14.0,12.240175070860548
2384,RegionE,BatchInference,ARIMA,6.0,12.240175070860548
2385,RegionE,BatchInference,ARIMA,0.0,12.240175070860548
2386,RegionE,BatchInference,ARIMA,17.0,12.240175070860548
2387,RegionE,BatchInference,ARIMA,68.0,12.240175070860548
2388,RegionE,BatchInference,ARIMA,0.0,12.240175070860548
2389,RegionE,BatchInference,ARIMA,22.0,12.240175070860548
2390,RegionE,BatchInference,ARIMA,16.0,12.240175070860548
2391,RegionE,BatchInference,ARIMA,14.0,12.240175070860548
2392,RegionE,BatchInference,ARIMA,9.0,12.240175070860548
2393,RegionE,BatchInference,ARIMA,0.0,12.240175070860548
2394,RegionE,BatchInference,ARIMA,17.0,12.240175070860548
2395,RegionE,BatchInference,ARIMA,0.0,12.240175070860548
2396,RegionE,BatchInference,ARIMA,16.0,12.240175070860548
2397,RegionE,BatchInference,ARIMA,39.0,12.240175070860548
2398,RegionE,BatchInference,ARIMA,30.0,12.240175070860548
2399,RegionE,BatchInference,ARIMA,13.0,12.240175070860548
2376,RegionE,AITraining,ARIMA,111.0,116.1823602886274
2377,RegionE,AITraining,ARIMA,321.0,120.96364463351316
2378,RegionE,AITraining,ARIMA,335.0,122.34120914312167
2379,RegionE,AITraining,ARIMA,70.0,121.13258020604087
2380,RegionE,AITraining,ARIMA,73.0,121.13258020604087
2381,RegionE,AITraining,ARIMA,161.0,121.13258020604087
2382,RegionE,AITraining,ARIMA,0.0,121.13258020604087
2383,RegionE,AITraining,ARIMA,286.0,121.13258020604087
2384,RegionE,AITraining,ARIMA,153.0,121.13258020604087
2385,RegionE,AITraining,ARIMA,144.0,121.13258020604087
2386,RegionE,AITraining,ARIMA,101.0,121.13258020604087
2387,RegionE,AITraining,ARIMA,368.0,121.13258020604087
2388,RegionE,AITraining,ARIMA,0.0,121.13258020604087
2389,RegionE,AITraining,ARIMA,128.0,121.13258020604087
2390,RegionE,AITraining,ARIMA,517.0,121.13258020604087
2391,RegionE,AITraining,ARIMA,297.0,121.13258020604087
2392,RegionE,AITraining,ARIMA,104.0,121.13258020604087
2393,RegionE,AITraining,ARIMA,0.0,121.13258020604087
2394,RegionE,AITraining,ARIMA,261.0,121.13258020604087
2395,RegionE,AITraining,ARIMA,269.0,121.13258020604087
2396,RegionE,AITraining,ARIMA,105.0,121.13258020604087
2397,RegionE,AITraining,ARIMA,109.0,121.13258020604087
2398,RegionE,AITraining,ARIMA,161.0,121.13258020604087
2399,RegionE,AITraining,ARIMA,115.0,121.13258020604087
2376,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2377,RegionF,RealTimeInference,SBA-Croston,2.0,0.5601359952472342
2378,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2379,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2380,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2381,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2382,RegionF,RealTimeInference,SBA-Croston,1.0,0.5601359952472342
2383,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2384,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2385,RegionF,RealTimeInference,SBA-Croston,7.0,0.5601359952472342
2386,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2387,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2388,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2389,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2390,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2391,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2392,RegionF,RealTimeInference,SBA-Croston,1.0,0.5601359952472342
2393,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2394,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2395,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2396,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2397,RegionF,RealTimeInference,SBA-Croston,0.0,0.5601359952472342
2398,RegionF,RealTimeInference,SBA-Croston,3.0,0.5601359952472342
2399,RegionF,RealTimeInference,SBA-Croston,1.0,0.5601359952472342
2376,RegionF,BatchInference,ARIMA,17.0,11.468438177890436
2377,RegionF,BatchInference,ARIMA,0.0,11.349633201245412
2378,RegionF,BatchInference,ARIMA,9.0,11.269091217920213
2379,RegionF,BatchInference,ARIMA,9.0,11.353721649529758
2380,RegionF,BatchInference,ARIMA,16.0,11.353721649529758
2381,RegionF,BatchInference,ARIMA,0.0,11.353721649529758
2382,RegionF,BatchInference,ARIMA,0.0,11.353721649529758
2383,RegionF,BatchInference,ARIMA,0.0,11.353721649529758
2384,RegionF,BatchInference,ARIMA,0.0,11.353721649529758
2385,RegionF,BatchInference,ARIMA,0.0,11.353721649529758
2386,RegionF,BatchInference,ARIMA,12.0,11.353721649529758
2387,RegionF,BatchInference,ARIMA,0.0,11.353721649529758
2388,RegionF,BatchInference,ARIMA,0.0,11.353721649529758
2389,RegionF,BatchInference,ARIMA,7.0,11.353721649529758
2390,RegionF,BatchInference,ARIMA,15.0,11.353721649529758
2391,RegionF,BatchInference,ARIMA,21.0,11.353721649529758
2392,RegionF,BatchInference,ARIMA,0.0,11.353721649529758
2393,RegionF,BatchInference,ARIMA,23.0,11.353721649529758
2394,RegionF,BatchInference,ARIMA,17.0,11.353721649529758
2395,RegionF,BatchInference,ARIMA,0.0,11.353721649529758
2396,RegionF,BatchInference,ARIMA,14.0,11.353721649529758
2397,RegionF,BatchInference,ARIMA,39.0,11.353721649529758
2398,RegionF,BatchInference,ARIMA,36.0,11.353721649529758
2399,RegionF,BatchInference,ARIMA,0.0,11.353721649529758
2376,RegionF,AITraining,ARIMA,124.0,127.4965699524588
2377,RegionF,AITraining,ARIMA,321.0,122.18691196618606
2378,RegionF,AITraining,ARIMA,296.0,123.76236877457208
2379,RegionF,AITraining,ARIMA,102.0,122.66286803619408
2380,RegionF,AITraining,ARIMA,329.0,122.66286803619408
2381,RegionF,AITraining,ARIMA,191.0,122.66286803619408
2382,RegionF,AITraining,ARIMA,180.0,122.66286803619408
2383,RegionF,AITraining,ARIMA,159.0,122.66286803619408
2384,RegionF,AITraining,ARIMA,179.0,122.66286803619408
2385,RegionF,AITraining,ARIMA,393.0,122.66286803619408
