TaskID,TaskType,ArrivalHour,GPU_Demand,EstimatedDuration_min,DelaySensitivity,SourceRegion,MaxLatency_ms,LatestFinishHour,EarliestStartHour,ExecutionMode,ExecutionRegion,StartHour,FinishHour,NetworkLatency_ms,Scheduled
12184,BatchInference,2393,5,15,Medium,RegionD,80,2406,2393,NonPreemptive,RegionB,2393.0,2393.25,60.0,True
12397,AITraining,2391,101,37,Low,RegionA,150,2406,2391,NonPreemptive,RegionA,2391.0,2391.616666666667,5.0,True
12431,BatchInference,2396,17,197,Medium,RegionB,80,2406,2396,NonPreemptive,RegionF,2396.0,2399.2833333333333,79.0,True
12444,RealTimeInference,2394,1,269,High,RegionA,20,2399,2394,NonPreemptive,RegionA,2394.0,2398.483333333333,5.0,True
12481,RealTimeInference,2395,5,175,High,RegionC,20,2398,2395,NonPreemptive,RegionA,2395.0,2397.9166666666665,15.0,True
12755,AITraining,2383,51,183,Low,RegionE,150,2406,2383,NonPreemptive,RegionE,2383.0,2386.05,5.0,True
12791,BatchInference,2383,4,52,Medium,RegionA,80,2406,2383,NonPreemptive,RegionD,2383.0,2383.866666666667,65.0,True
13174,RealTimeInference,2394,6,10,High,RegionB,20,2395,2394,NonPreemptive,RegionB,2394.0,2394.1666666666665,5.0,True
13251,RealTimeInference,2395,6,47,High,RegionA,20,2396,2395,NonPreemptive,RegionB,2395.0,2395.7833333333333,12.0,True
13331,RealTimeInference,2383,1,49,High,RegionB,20,2384,2383,NonPreemptive,RegionC,2383.0,2383.8166666666666,14.0,True
13376,AITraining,2394,53,143,Low,RegionD,150,2406,2394,NonPreemptive,RegionB,2394.0,2396.383333333333,60.0,True
13381,RealTimeInference,2398,6,125,High,RegionA,20,2401,2398,NonPreemptive,RegionB,2398.0,2400.0833333333335,12.0,True
13505,RealTimeInference,2382,6,257,High,RegionE,20,2387,2382,NonPreemptive,RegionF,2382.0,2386.2833333333333,18.0,True
13587,AITraining,2381,23,392,Low,RegionD,150,2406,2381,NonPreemptive,RegionD,2381.0,2387.5333333333333,5.0,True
13747,AITraining,2389,41,396,Low,RegionF,150,2406,2389,NonPreemptive,RegionE,2389.0,2395.6,18.0,True
13836,AITraining,2391,40,384,Low,RegionD,150,2406,2391,NonPreemptive,RegionE,2391.0,2397.4,22.0,True
14305,RealTimeInference,2391,2,280,High,RegionD,20,2396,2391,NonPreemptive,RegionD,2391.0,2395.6666666666665,5.0,True
14327,BatchInference,2394,21,333,Medium,RegionB,80,2406,2394,NonPreemptive,RegionF,2394.0,2399.55,79.0,True
14405,BatchInference,2379,18,155,Medium,RegionA,80,2406,2379,NonPreemptive,RegionD,2379.0,2381.5833333333335,65.0,True
14419,AITraining,2379,104,386,Low,RegionD,150,2406,2379,NonPreemptive,RegionD,2379.0,2385.4333333333334,5.0,True
14578,AITraining,2396,31,375,Low,RegionE,150,2406,2396,NonPreemptive,RegionD,2396.0,2402.25,22.0,True
14619,AITraining,2394,117,397,Low,RegionF,150,2406,2394,NonPreemptive,RegionF,2394.0,2400.616666666667,5.0,True
14622,BatchInference,2386,23,220,Medium,RegionB,80,2406,2386,NonPreemptive,RegionD,2386.0,2389.6666666666665,60.0,True
14647,BatchInference,2376,11,74,Medium,RegionA,80,2406,2376,NonPreemptive,RegionD,2376.0,2377.233333333333,65.0,True
14669,RealTimeInference,2385,6,277,High,RegionB,20,2390,2385,NonPreemptive,RegionB,2385.0,2389.616666666667,5.0,True
14749,AITraining,2389,97,189,Low,RegionE,150,2406,2389,NonPreemptive,RegionD,2389.0,2392.15,22.0,True
14772,BatchInference,2382,12,307,Medium,RegionA,80,2406,2382,NonPreemptive,RegionD,2382.0,2387.116666666667,65.0,True
14780,AITraining,2377,32,269,Low,RegionD,150,2406,2377,NonPreemptive,RegionD,2377.0,2381.483333333333,5.0,True
14844,AITraining,2396,51,249,Low,RegionB,150,2406,2396,NonPreemptive,RegionE,2396.0,2400.15,74.0,True
14868,AITraining,2396,22,387,Low,RegionF,150,2406,2396,NonPreemptive,RegionD,2396.0,2402.45,25.0,True
15175,RealTimeInference,2396,6,175,High,RegionB,20,2399,2396,NonPreemptive,RegionA,2396.0,2398.9166666666665,12.0,True
15185,RealTimeInference,2382,1,53,High,RegionA,20,2383,2382,NonPreemptive,RegionC,2382.0,2382.883333333333,15.0,True
15242,BatchInference,2399,7,243,Medium,RegionE,80,2406,2399,NonPreemptive,RegionD,2399.0,2403.05,22.0,True
15675,AITraining,2390,87,179,Low,RegionF,150,2406,2390,NonPreemptive,RegionE,2390.0,2392.983333333333,18.0,True
15694,AITraining,2386,63,172,Low,RegionE,150,2406,2386,NonPreemptive,RegionE,2386.0,2388.866666666667,5.0,True
15916,AITraining,2397,81,203,Low,RegionE,150,2406,2397,NonPreemptive,RegionE,2397.0,2400.383333333333,5.0,True
15921,AITraining,2394,127,235,Low,RegionD,150,2406,2394,NonPreemptive,RegionD,2394.0,2397.9166666666665,5.0,True
16024,RealTimeInference,2392,1,201,High,RegionF,20,2396,2392,NonPreemptive,RegionE,2392.0,2395.35,18.0,True
16041,RealTimeInference,2394,5,55,High,RegionB,20,2395,2394,NonPreemptive,RegionB,2394.0,2394.9166666666665,5.0,True
16109,BatchInference,2389,7,175,Medium,RegionF,80,2406,2389,NonPreemptive,RegionD,2389.0,2391.9166666666665,25.0,True
16116,BatchInference,2382,7,320,Medium,RegionA,80,2406,2382,NonPreemptive,RegionD,2382.0,2387.3333333333335,65.0,True
16146,AITraining,2378,60,18,Low,RegionE,150,2406,2378,NonPreemptive,RegionD,2378.0,2378.3,22.0,True
16274,BatchInference,2388,21,363,Medium,RegionA,80,2406,2388,NonPreemptive,RegionE,2388.0,2394.05,78.0,True
16345,BatchInference,2393,9,194,Medium,RegionF,80,2406,2393,NonPreemptive,RegionD,2393.0,2396.233333333333,25.0,True
16494,BatchInference,2395,22,161,Medium,RegionD,80,2406,2395,NonPreemptive,RegionE,2395.0,2397.6833333333334,22.0,True
16513,AITraining,2390,107,350,Low,RegionE,150,2406,2390,NonPreemptive,RegionD,2390.0,2395.8333333333335,22.0,True
16699,AITraining,2393,127,102,Low,RegionF,150,2406,2393,NonPreemptive,RegionF,2393.0,2394.7,5.0,True
16844,RealTimeInference,2399,1,51,High,RegionF,20,2400,2399,NonPreemptive,RegionF,2399.0,2399.85,5.0,True
16950,RealTimeInference,2384,6,152,High,RegionA,20,2387,2384,NonPreemptive,RegionB,2384.0,2386.5333333333333,12.0,True
17044,BatchInference,2389,6,36,Medium,RegionC,80,2406,2389,NonPreemptive,RegionE,2389.0,2389.6,70.0,True
17052,RealTimeInference,2398,2,33,High,RegionC,20,2399,2398,NonPreemptive,RegionA,2398.0,2398.55,15.0,True
17181,AITraining,2387,82,102,Low,RegionD,150,2406,2387,NonPreemptive,RegionE,2387.0,2388.7,22.0,True
17233,AITraining,2390,122,228,Low,RegionD,150,2406,2390,NonPreemptive,RegionF,2390.0,2393.8,25.0,True
17421,BatchInference,2398,15,141,Medium,RegionF,80,2406,2398,NonPreemptive,RegionD,2398.0,2400.35,25.0,True
17466,BatchInference,2380,20,231,Medium,RegionE,80,2406,2380,NonPreemptive,RegionD,2380.0,2383.85,22.0,True
17673,AITraining,2392,124,397,Low,RegionD,150,2406,2392,NonPreemptive,RegionA,2392.0,2398.616666666667,65.0,True
17820,RealTimeInference,2376,1,75,High,RegionC,20,2378,2376,NonPreemptive,RegionB,2376.0,2377.25,14.0,True
17864,AITraining,2378,120,102,Low,RegionD,150,2406,2378,NonPreemptive,RegionF,2378.0,2379.7,25.0,True
17898,AITraining,2391,78,159,Low,RegionE,150,2406,2391,NonPreemptive,RegionF,2391.0,2393.65,18.0,True
17938,BatchInference,2398,23,256,Medium,RegionE,80,2406,2398,NonPreemptive,RegionD,2398.0,2402.266666666667,22.0,True
17991,AITraining,2388,26,136,Low,RegionF,150,2406,2388,NonPreemptive,RegionD,2388.0,2390.266666666667,25.0,True
18061,BatchInference,2388,9,304,Medium,RegionC,80,2406,2388,NonPreemptive,RegionD,2388.0,2393.0666666666666,58.0,True
18201,BatchInference,2376,16,40,Medium,RegionE,80,2406,2376,NonPreemptive,RegionD,2376.0,2376.6666666666665,22.0,True
18325,AITraining,2385,58,207,Low,RegionF,150,2406,2385,NonPreemptive,RegionF,2385.0,2388.45,5.0,True
18367,BatchInference,2391,19,346,Medium,RegionA,80,2406,2391,NonPreemptive,RegionE,2391.0,2396.766666666667,78.0,True
18394,RealTimeInference,2396,3,326,High,RegionA,20,2402,2396,NonPreemptive,RegionC,2396.0,2401.4333333333334,15.0,True
18427,BatchInference,2378,18,267,Medium,RegionB,80,2406,2378,NonPreemptive,RegionD,2378.0,2382.45,60.0,True
18687,RealTimeInference,2391,5,87,High,RegionE,20,2393,2391,NonPreemptive,RegionE,2391.0,2392.45,5.0,True
18713,AITraining,2380,38,65,Low,RegionF,150,2406,2380,NonPreemptive,RegionE,2380.0,2381.0833333333335,18.0,True
18720,AITraining,2381,120,52,Low,RegionF,150,2406,2381,NonPreemptive,RegionE,2381.0,2381.866666666667,18.0,True
18826,BatchInference,2392,17,272,Medium,RegionA,80,2406,2392,NonPreemptive,RegionE,2392.0,2396.5333333333333,78.0,True
18847,BatchInference,2391,8,271,Medium,RegionB,80,2406,2391,NonPreemptive,RegionF,2391.0,2395.516666666667,79.0,True
18869,BatchInference,2386,7,266,Medium,RegionD,80,2406,2386,NonPreemptive,RegionE,2386.0,2390.4333333333334,22.0,True
18905,BatchInference,2381,12,251,Medium,RegionA,80,2406,2381,NonPreemptive,RegionE,2381.0,2385.1833333333334,78.0,True
19172,RealTimeInference,2398,6,199,High,RegionC,20,2402,2398,NonPreemptive,RegionC,2398.0,2401.3166666666666,5.0,True
19264,RealTimeInference,2386,4,200,High,RegionD,20,2390,2386,NonPreemptive,RegionD,2386.0,2389.3333333333335,5.0,True
19289,AITraining,2398,121,361,Low,RegionE,150,2406,2398,NonPreemptive,RegionD,2398.0,2404.016666666667,22.0,True
19387,AITraining,2392,104,226,Low,RegionE,150,2406,2392,NonPreemptive,RegionD,2392.0,2395.766666666667,22.0,True
19440,BatchInference,2382,23,124,Medium,RegionE,80,2406,2382,NonPreemptive,RegionD,2382.0,2384.0666666666666,22.0,True
19584,AITraining,2387,43,349,Low,RegionE,150,2406,2387,NonPreemptive,RegionD,2387.0,2392.8166666666666,22.0,True
19682,BatchInference,2390,11,314,Medium,RegionD,80,2406,2390,NonPreemptive,RegionF,2390.0,2395.233333333333,25.0,True
19684,BatchInference,2378,9,121,Medium,RegionF,80,2406,2378,NonPreemptive,RegionD,2378.0,2380.016666666667,25.0,True
19693,RealTimeInference,2386,4,72,High,RegionA,20,2388,2386,NonPreemptive,RegionB,2386.0,2387.2,12.0,True
20139,AITraining,2381,71,205,Low,RegionD,150,2406,2381,NonPreemptive,RegionD,2381.0,2384.4166666666665,5.0,True
20312,BatchInference,2396,16,248,Medium,RegionD,80,2406,2396,NonPreemptive,RegionF,2396.0,2400.133333333333,25.0,True
20392,AITraining,2377,110,335,Low,RegionF,150,2406,2377,NonPreemptive,RegionF,2377.0,2382.5833333333335,5.0,True
20403,BatchInference,2388,14,239,Medium,RegionD,80,2406,2388,NonPreemptive,RegionD,2388.0,2391.983333333333,5.0,True
20632,BatchInference,2386,14,184,Medium,RegionC,80,2406,2386,NonPreemptive,RegionE,2386.0,2389.0666666666666,70.0,True
20799,BatchInference,2397,14,204,Medium,RegionF,80,2406,2397,NonPreemptive,RegionE,2397.0,2400.4,18.0,True
20964,AITraining,2380,112,210,Low,RegionB,150,2406,2380,NonPreemptive,RegionF,2380.0,2383.5,79.0,True
20965,RealTimeInference,2377,2,158,High,RegionA,20,2380,2377,NonPreemptive,RegionC,2377.0,2379.633333333333,15.0,True
21103,RealTimeInference,2383,7,108,High,RegionA,20,2385,2383,NonPreemptive,RegionB,2383.0,2384.8,12.0,True
21242,RealTimeInference,2390,1,66,High,RegionB,20,2392,2390,NonPreemptive,RegionB,2390.0,2391.1,5.0,True
21356,AITraining,2388,125,308,Low,RegionF,150,2406,2388,NonPreemptive,RegionF,2388.0,2393.133333333333,5.0,True
21384,AITraining,2377,110,218,Low,RegionC,150,2406,2377,NonPreemptive,RegionD,2377.0,2380.633333333333,58.0,True
21400,RealTimeInference,2399,1,101,High,RegionB,20,2401,2399,NonPreemptive,RegionB,2399.0,2400.6833333333334,5.0,True
