Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AITrainingPower_MW,GPU_Utilization_Percent,AvailableRenewable_MW,UsedRenewable_MW,RenewableCharge_MW,Curtailment_MW,IT_Load_MW,Total_Load_MW,GridPurchase_MW,GridCharge_MW,GridSell_MW,NetGridImport_MW,CarbonEmission_tCO2,DemandResponseLevel,SOC_MWh,ChargePower_MW,DischargePower_MW,Baseline_AI_IT_Load_MW,NonAI_IT_Load_MW,DataPeriod,PUE,Facility_Load_MW,Scenario,OperatingCost_CNY,PowerBalanceResidual_MW,ChargeMode,StorageActivity_MW
970,RegionF,Flat,402.0,313.56,0.2376,42.456,33.535197,1100.0,269.2535,0.0,371.9746,400.02,508.0254,0.0,0.0,220.0,-220.0,0.0,Low,85.0,0.0,0.0,48.316,351.704,Main_0_2399,1.27,508.0254,成本—碳排放等权方案,-68983.2,0.0,0.0,0.0
971,RegionF,Flat,402.0,313.56,0.2343,46.32,38.664596,1089.78,244.3187,0.0,397.7337,371.69,472.0463,0.0,0.0,220.0,-220.0,0.0,Low,85.0,0.0,0.0,54.58,317.11,Main_0_2399,1.27,472.04630000000003,成本—碳排放等权方案,-68983.2,0.0,0.0,0.0
972,RegionF,Flat,402.02,313.58,0.2323,59.0426666667,46.652864,1059.81,217.616,0.0,161.46440042329095,337.28,428.3456,0.0,0.0,220.0,-220.0,0.0,Low,320.0,250.0,0.0,67.0676666667,270.212333,Main_0_2399,1.27,428.345599576709,成本—碳排放等权方案,-68987.59999999999,0.0,1.0,250.0
973,RegionF,Flat,402.04,313.59,0.2317,34.7893333333,31.017943,1012.13,217.0079,0.0,109.88168957670894,340.353,432.2483,0.0,0.0,220.0,-220.0,0.0,Low,555.0,250.0,0.0,42.8453333333,297.507667,Main_0_2399,1.27,432.24831042329106,成本—碳排放等权方案,-68989.79999999999,0.0,1.0,250.0
974,RegionF,Flat,402.07,313.61,0.2325,26.1893333333,24.532436,950.0,205.6466,0.0,318.7066895767091,323.853,411.2933,0.0,0.0,220.0,-220.0,0.0,Low,555.0,0.0,0.0,33.3793333333,290.473667,Main_0_2399,1.27,411.29331042329096,成本—碳排放等权方案,-68994.2,0.0,0.0,0.0
975,RegionF,Flat,402.11,313.65,0.2346,22.56,18.109041,877.65,181.7417,0.0,45.646659576709,285.042,362.0033,0.0,0.0,220.0,-220.0,0.0,Low,790.0,250.0,0.0,25.7533333333,259.288667,Main_0_2399,1.27,362.003340423291,成本—碳排放等权方案,-69003.0,0.0,1.0,250.0
976,RegionF,Flat,402.16,313.68,0.238,42.56,29.730849,800.0,179.4261,0.0,226.82569999999993,278.09,353.1743,0.0,0.0,220.0,-220.0,0.0,Low,790.0,0.0,0.0,44.48,233.61,Main_0_2399,1.27,353.1743000000001,成本—碳排放等权方案,-69009.6,0.0,0.0,0.0
977,RegionF,Peak,583.22,454.91,0.2425,51.76,35.55383,722.35,163.2516,0.0,186.9328,248.36,315.4172,0.0,0.0,220.0,-220.0,0.0,Medium,790.0,0.0,0.0,53.676,194.684,Main_0_2399,1.27,315.41720000000004,成本—碳排放等权方案,-100080.20000000001,0.0,0.0,0.0
978,RegionF,Peak,583.31,454.98,0.2476,39.8933333333,27.467219,650.0,154.362,0.0,83.58011234266655,229.33,291.2491,0.0,0.0,220.0,-220.0,0.0,Medium,841.8605399999999,55.17078723404245,0.0,41.4933333333,187.836667,Main_0_2399,1.27,291.249100423291,成本—碳排放等权方案,-100095.6,0.0,1.0,55.17078723404245
979,RegionF,Peak,583.41,455.06,0.2531,31.2,23.084886,587.87,177.3364,0.0,42.16579999999993,256.46,325.7042,0.0,0.0,220.0,-220.0,0.0,Medium,841.8605399999999,0.0,0.0,34.0,222.46,Main_0_2399,1.27,325.70420000000007,成本—碳排放等权方案,-100113.2,0.0,0.0,0.0
980,RegionF,Peak,583.52,455.15,0.2586,68.0,46.004141,540.19,174.4574,0.0,0.0,245.3,311.531,0.0,0.0,220.0,-220.0,0.0,Medium,850.0,8.659000000000049,0.0,69.94,175.36,Main_0_2399,1.27,311.531,成本—碳排放等权方案,-100133.0,0.0,1.0,8.659000000000049
981,RegionF,Peak,583.65,455.25,0.2638,51.888,34.611801,510.22,193.0219,0.0,0.0,264.08,335.3816,0.0,0.0,220.0,-220.0,0.0,Medium,801.4391397849462,0.0,45.16160000000002,52.893,211.187,Main_0_2399,1.27,335.38160000000005,成本—碳排放等权方案,-100155.0,0.0,0.0,45.16160000000002
982,RegionF,Flat,362.35,282.63,0.2683,43.816,30.063837,500.0,226.963,54.6074,0.0,302.9,384.683,0.0,0.0,220.0,-220.0,0.0,Low,688.8767746487,0.0,104.68299957670894,45.4726666667,257.427333,Main_0_2399,1.27,384.68299957670894,成本—碳排放等权方案,-62178.6,-5.684341886080802e-14,0.0,104.68299957670894
983,RegionF,Flat,362.43,282.7,0.2717,44.64,30.848861,510.22,257.9702,50.45,0.0,337.18,428.2186,0.0,0.0,220.0,-220.0,0.0,Low,540.4911832508506,0.0,137.9986,46.54,290.64,Main_0_2399,1.27,428.21860000000004,成本—碳排放等权方案,-62194.0,0.0,0.0,137.9986
